audio,blackFrames,distribution
-20.929718,0.0,0.0
-21.539655,0.0,0.0
-28.325439,0.0,0.0
-28.315837,0.0,0.0
-24.039407,0.0,0.0
-21.322798,0.0,0.0
-23.219105,0.0,0.0
-23.596153,0.0,0.0
-25.505508,0.0,0.0
-31.424482,0.0,0.0
-33.087618,0.0,0.0
-24.607999,0.0,0.0
-24.109216,0.0,0.0
-22.307753,0.0,0.0
-25.947390,0.0,0.0
-23.569295,0.0,0.0
-23.760393,0.0,0.0
-20.867864,0.0,0.0
-20.345225,0.0,0.0
-25.099678,0.0,0.0
-25.757787,0.0,0.0
-26.085795,0.0,0.0
-29.681656,0.0,0.0
-30.189181,0.0,0.0
-27.504583,0.0,0.0
-31.260031,0.0,0.0
-33.134015,0.0,0.0
-31.661405,0.0,0.0
-31.163551,0.0,0.0
-20.840714,0.0,0.0
-20.479337,0.0,0.0
-21.593347,0.0,0.0
-20.832498,0.0,0.0
-21.062059,0.0,0.0
-20.822936,0.0,0.0
-21.918478,0.0,0.0
-19.961765,0.0,0.0
-21.378065,0.0,0.0
-22.180986,0.0,0.0
-22.684900,0.0,0.0
-27.556028,0.0,0.0
-27.171865,0.0,0.0
-28.639927,0.0,0.0
-30.682483,0.0,0.0
-21.232430,0.0,0.0
-20.368174,0.0,0.0
-32.132293,0.0,0.0
-32.038710,0.0,0.0
-29.997112,0.0,0.0
-25.203633,0.0,0.0
-18.424056,0.0,0.0
-22.000701,0.0,0.0
-21.725775,0.0,0.0
-23.545857,0.0,0.0
-28.354294,0.0,0.0
-28.751178,0.0,0.0
-31.134949,0.0,0.0
-30.368237,0.0,0.0
-17.420076,0.0,0.0
-18.819557,0.0,0.0
-20.727456,0.0,0.0
-21.299996,0.0,0.0
-23.970364,0.0,0.0
-24.263359,0.0,0.0
-23.197089,0.0,0.0
-23.020959,0.0,0.0
-25.529914,0.0,0.0
-26.214010,0.0,0.0
-26.204601,0.0,0.0
-26.710454,0.0,0.0
-27.182303,0.0,0.0
-26.146211,0.0,0.0
-23.324510,0.0,0.0
-19.885895,0.0,0.0
-23.946596,0.0,0.0
-23.631612,0.0,0.0
-24.356901,0.0,0.0
-24.379415,0.0,0.0
-23.543980,0.0,0.0
-23.458308,0.0,0.0
-25.320264,0.0,0.0
-25.199523,0.0,0.0
-21.791448,0.0,0.0
-23.582701,0.0,0.0
-22.859598,0.0,0.0
-20.223631,0.0,0.0
-19.623745,0.0,0.0
-25.907189,0.0,0.0
-28.335195,0.0,0.0
-18.504870,0.0,0.0
-19.231918,0.0,0.0
-19.540145,0.0,0.0
-20.454111,0.0,0.0
-24.456593,0.0,0.0
-25.558459,0.0,0.0
-26.631698,0.0,0.0
-27.241946,0.0,0.0
-28.076662,0.0,0.0
-26.753903,0.0,0.0
-26.572875,0.0,0.0
-26.219405,0.0,0.0
-25.176550,0.0,0.0
-29.273210,0.0,0.0
-27.852805,0.0,0.0
-28.981942,0.0,0.0
-28.215730,0.0,0.0
-27.801372,0.0,0.0
-28.103180,0.0,0.0
-26.282866,0.0,0.0
-23.301746,0.0,0.0
-20.879166,0.0,0.0
-19.395570,0.0,0.0
-21.216879,0.0,0.0
-22.310744,0.0,0.0
-23.140603,0.0,0.0
-24.383517,0.0,0.0
-20.165521,0.0,0.0
-29.486120,0.0,0.0
-28.801567,0.0,0.0
-24.231148,0.0,0.0
-25.499471,0.0,0.0
-20.277545,0.0,0.0
-20.899728,0.0,0.0
-24.708746,0.0,0.0
-22.555120,0.0,0.0
-26.642934,0.0,0.0
-28.982945,0.0,0.0
-24.763892,0.0,0.0
-20.797638,0.0,0.0
-19.472346,0.0,0.0
-21.356340,0.0,0.0
